😀	grinning	grinning,grinning_face
😃	smiley	smiley
😄	smile	smile
😁	grin	grin
😆	laughing	laughing,satisfied
😅	sweat_smile	sweat_smile
🤣	rofl	rofl,rolling_on_the_floor_laughing
😂	joy	joy
🙂	slight_smile	slight_smile,slightly_smiling_face
🙃	upside_down	upside_down,upside_down_face
🫠	melting_face	melting_face
😉	wink	wink,winking_face
😊	blush	blush
😇	innocent	innocent
🥰	smiling_face_with_3_hearts	smiling_face_with_3_hearts
😍	heart_eyes	heart_eyes
🤩	star_struck	star_struck
😘	kissing_heart	kissing_heart
😗	kissing	kissing,kissing_face
☺️	relaxed	relaxed,smiling_face
😚	kissing_closed_eyes	kissing_closed_eyes
😙	kissing_smiling_eyes	kissing_smiling_eyes
🥲	smiling_face_with_tear	smiling_face_with_tear
😋	yum	yum
😛	stuck_out_tongue	stuck_out_tongue
😜	stuck_out_tongue_winking_eye	stuck_out_tongue_winking_eye
🤪	zany_face	zany_face
😝	stuck_out_tongue_closed_eyes	stuck_out_tongue_closed_eyes
🤑	money_mouth	money_mouth,money_mouth_face
🤗	hugging	hugging,hugging_face
🤭	face_with_hand_over_mouth	face_with_hand_over_mouth
🫢	face_with_open_eyes_and_hand_over_mouth	face_with_open_eyes_and_hand_over_mouth
🫣	face_with_peeking_eye	face_with_peeking_eye
🤫	shushing_face	shushing_face
🤔	thinking	thinking,thinking_face
🫡	saluting_face	saluting_face
🤐	zipper_mouth	zipper_mouth,zipper_mouth_face
🤨	face_with_raised_eyebrow	face_with_raised_eyebrow
😐	neutral_face	neutral_face
😑	expressionless	expressionless
😶	no_mouth	no_mouth
🫥	dotted_line_face	dotted_line_face
😶‍🌫️	face_in_clouds	face_in_clouds
😏	smirk	smirk,smirking_face
😒	unamused	unamused,unamused_face
🙄	rolling_eyes	rolling_eyes,face_with_rolling_eyes
😬	grimacing	grimacing
😮‍💨	face_exhaling	face_exhaling
🤥	lying_face	lying_face,liar
🫨	shaking_face	shaking_face
🙂‍↔️	head_shaking_horizontally	head_shaking_horizontally
🙂‍↕️	head_shaking_vertically	head_shaking_vertically
😌	relieved	relieved,relieved_face
😔	pensive	pensive,pensive_face
😪	sleepy	sleepy,sleepy_face
🤤	drooling_face	drooling_face,drool
😴	sleeping	sleeping,sleeping_face
🫩	face_with_bags_under_eyes	face_with_bags_under_eyes
😷	mask	mask
🤒	thermometer_face	thermometer_face,face_with_thermometer
🤕	head_bandage	head_bandage,face_with_head_bandage
🤢	nauseated_face	nauseated_face,sick
🤮	face_vomiting	face_vomiting
🤧	sneezing_face	sneezing_face,sneeze
🥵	hot_face	hot_face
🥶	cold_face	cold_face
🥴	woozy_face	woozy_face
😵	dizzy_face	dizzy_face
😵‍💫	face_with_spiral_eyes	face_with_spiral_eyes
🤯	exploding_head	exploding_head
🤠	cowboy	cowboy,face_with_cowboy_hat
🥳	partying_face	partying_face
🥸	disguised_face	disguised_face
😎	sunglasses	sunglasses
🤓	nerd	nerd,nerd_face
🧐	face_with_monocle	face_with_monocle
😕	confused	confused,confused_face
🫤	face_with_diagonal_mouth	face_with_diagonal_mouth
😟	worried	worried,worried_face
🙁	slight_frown	slight_frown,slightly_frowning_face
☹️	frowning2	frowning2,white_frowning_face,frowning_face
😮	open_mouth	open_mouth
😯	hushed	hushed,hushed_face
😲	astonished	astonished
😳	flushed	flushed,flushed_face
🫪	distorted_face	distorted_face
🥺	pleading_face	pleading_face
🥹	face_holding_back_tears	face_holding_back_tears
😦	frowning	frowning
😧	anguished	anguished
😨	fearful	fearful,fearful_face
😰	cold_sweat	cold_sweat
😥	disappointed_relieved	disappointed_relieved
😢	cry	cry,crying_face
😭	sob	sob
😱	scream	scream
😖	confounded	confounded
😣	persevere	persevere
😞	disappointed	disappointed
😓	sweat	sweat
😩	weary	weary,weary_face
😫	tired_face	tired_face
🥱	yawning_face	yawning_face
😤	triumph	triumph
😡	rage	rage,pouting_face
😠	angry	angry,angry_face
🤬	face_with_symbols_over_mouth	face_with_symbols_over_mouth
😈	smiling_imp	smiling_imp
👿	imp	imp
💀	skull	skull,skeleton
☠️	skull_crossbones	skull_crossbones,skull_and_crossbones
💩	poop	poop,shit,hankey,poo,pile_of_poo
🤡	clown	clown,clown_face
👹	japanese_ogre	japanese_ogre,ogre
👺	japanese_goblin	japanese_goblin,goblin
👻	ghost	ghost
👽	alien	alien
👾	space_invader	space_invader,alien_monster
🤖	robot	robot,robot_face
😺	smiley_cat	smiley_cat,grinning_cat
😸	smile_cat	smile_cat
😹	joy_cat	joy_cat
😻	heart_eyes_cat	heart_eyes_cat
😼	smirk_cat	smirk_cat
😽	kissing_cat	kissing_cat
🙀	scream_cat	scream_cat,weary_cat
😿	crying_cat_face	crying_cat_face,crying_cat
😾	pouting_cat	pouting_cat
🙈	see_no_evil	see_no_evil
🙉	hear_no_evil	hear_no_evil
🙊	speak_no_evil	speak_no_evil
💌	love_letter	love_letter
💘	cupid	cupid
💝	gift_heart	gift_heart
💖	sparkling_heart	sparkling_heart
💗	heartpulse	heartpulse,growing_heart
💓	heartbeat	heartbeat,beating_heart
💞	revolving_hearts	revolving_hearts
💕	two_hearts	two_hearts
💟	heart_decoration	heart_decoration
❣️	heart_exclamation	heart_exclamation,heavy_heart_exclamation_mark_ornament
💔	broken_heart	broken_heart
❤️‍🔥	heart_on_fire	heart_on_fire
❤️‍🩹	mending_heart	mending_heart
❤️	heart	heart,red_heart
🩷	pink_heart	pink_heart
🧡	orange_heart	orange_heart
💛	yellow_heart	yellow_heart
💚	green_heart	green_heart
💙	blue_heart	blue_heart
🩵	light_blue_heart	light_blue_heart
💜	purple_heart	purple_heart
🤎	brown_heart	brown_heart
🖤	black_heart	black_heart
🩶	grey_heart	grey_heart
🤍	white_heart	white_heart
💋	kiss	kiss,kiss_mark
💯	100	100
💢	anger	anger
🫯	fight_cloud	fight_cloud
💥	boom	boom,collision
💫	dizzy	dizzy
💦	sweat_drops	sweat_drops
💨	dash	dash,dashing_away
🕳️	hole	hole
💬	speech_balloon	speech_balloon
👁️‍🗨️	eye_in_speech_bubble	eye_in_speech_bubble
🗨️	speech_left	speech_left,left_speech_bubble
🗯️	anger_right	anger_right,right_anger_bubble
💭	thought_balloon	thought_balloon
💤	zzz	zzz
👋	wave	wave,waving_hand
👋🏻	wave_tone1	wave_tone1
👋🏼	wave_tone2	wave_tone2
👋🏽	wave_tone3	wave_tone3
👋🏾	wave_tone4	wave_tone4
👋🏿	wave_tone5	wave_tone5
🤚	raised_back_of_hand	raised_back_of_hand,back_of_hand
🤚🏻	raised_back_of_hand_tone1	raised_back_of_hand_tone1,back_of_hand_tone1
🤚🏼	raised_back_of_hand_tone2	raised_back_of_hand_tone2,back_of_hand_tone2
🤚🏽	raised_back_of_hand_tone3	raised_back_of_hand_tone3,back_of_hand_tone3
🤚🏾	raised_back_of_hand_tone4	raised_back_of_hand_tone4,back_of_hand_tone4
🤚🏿	raised_back_of_hand_tone5	raised_back_of_hand_tone5,back_of_hand_tone5
🖐️	hand_splayed	hand_splayed,raised_hand_with_fingers_splayed
🖐🏻	hand_splayed_tone1	hand_splayed_tone1,raised_hand_with_fingers_splayed_tone1
🖐🏼	hand_splayed_tone2	hand_splayed_tone2,raised_hand_with_fingers_splayed_tone2
🖐🏽	hand_splayed_tone3	hand_splayed_tone3,raised_hand_with_fingers_splayed_tone3
🖐🏾	hand_splayed_tone4	hand_splayed_tone4,raised_hand_with_fingers_splayed_tone4
🖐🏿	hand_splayed_tone5	hand_splayed_tone5,raised_hand_with_fingers_splayed_tone5
✋	raised_hand	raised_hand
✋🏻	raised_hand_tone1	raised_hand_tone1
✋🏼	raised_hand_tone2	raised_hand_tone2
✋🏽	raised_hand_tone3	raised_hand_tone3
✋🏾	raised_hand_tone4	raised_hand_tone4
✋🏿	raised_hand_tone5	raised_hand_tone5
🖖	vulcan	vulcan,raised_hand_with_part_between_middle_and_ring_fingers,vulcan_salute
🖖🏻	vulcan_tone1	vulcan_tone1,raised_hand_with_part_between_middle_and_ring_fingers_tone1
🖖🏼	vulcan_tone2	vulcan_tone2,raised_hand_with_part_between_middle_and_ring_fingers_tone2
🖖🏽	vulcan_tone3	vulcan_tone3,raised_hand_with_part_between_middle_and_ring_fingers_tone3
🖖🏾	vulcan_tone4	vulcan_tone4,raised_hand_with_part_between_middle_and_ring_fingers_tone4
🖖🏿	vulcan_tone5	vulcan_tone5,raised_hand_with_part_between_middle_and_ring_fingers_tone5
🫱	rightwards_hand	rightwards_hand
🫱🏻	rightwards_hand_tone1	rightwards_hand_tone1,rightwards_hand_light_skin_tone
🫱🏼	rightwards_hand_tone2	rightwards_hand_tone2,rightwards_hand_medium_light_skin_tone
🫱🏽	rightwards_hand_tone3	rightwards_hand_tone3,rightwards_hand_medium_skin_tone
🫱🏾	rightwards_hand_tone4	rightwards_hand_tone4,rightwards_hand_medium_dark_skin_tone
🫱🏿	rightwards_hand_tone5	rightwards_hand_tone5,rightwards_hand_dark_skin_tone
🫲	leftwards_hand	leftwards_hand
🫲🏻	leftwards_hand_tone1	leftwards_hand_tone1,leftwards_hand_light_skin_tone
🫲🏼	leftwards_hand_tone2	leftwards_hand_tone2,leftwards_hand_medium_light_skin_tone
🫲🏽	leftwards_hand_tone3	leftwards_hand_tone3,leftwards_hand_medium_skin_tone
🫲🏾	leftwards_hand_tone4	leftwards_hand_tone4,leftwards_hand_medium_dark_skin_tone
🫲🏿	leftwards_hand_tone5	leftwards_hand_tone5,leftwards_hand_dark_skin_tone
🫳	palm_down_hand	palm_down_hand
🫳🏻	palm_down_hand_tone1	palm_down_hand_tone1,palm_down_hand_light_skin_tone
🫳🏼	palm_down_hand_tone2	palm_down_hand_tone2,palm_down_hand_medium_light_skin_tone
🫳🏽	palm_down_hand_tone3	palm_down_hand_tone3,palm_down_hand_medium_skin_tone
🫳🏾	palm_down_hand_tone4	palm_down_hand_tone4,palm_down_hand_medium_dark_skin_tone
🫳🏿	palm_down_hand_tone5	palm_down_hand_tone5,palm_down_hand_dark_skin_tone
🫴	palm_up_hand	palm_up_hand
🫴🏻	palm_up_hand_tone1	palm_up_hand_tone1,palm_up_hand_light_skin_tone
🫴🏼	palm_up_hand_tone2	palm_up_hand_tone2,palm_up_hand_medium_light_skin_tone
🫴🏽	palm_up_hand_tone3	palm_up_hand_tone3,palm_up_hand_medium_skin_tone
🫴🏾	palm_up_hand_tone4	palm_up_hand_tone4,palm_up_hand_medium_dark_skin_tone
🫴🏿	palm_up_hand_tone5	palm_up_hand_tone5,palm_up_hand_dark_skin_tone
🫷	leftwards_pushing_hand	leftwards_pushing_hand
🫷🏻	leftwards_pushing_hand_tone1	leftwards_pushing_hand_tone1,leftwards_pushing_hand_light_skin_tone
🫷🏼	leftwards_pushing_hand_tone2	leftwards_pushing_hand_tone2,leftwards_pushing_hand_medium_light_skin_tone
🫷🏽	leftwards_pushing_hand_tone3	leftwards_pushing_hand_tone3,leftwards_pushing_hand_medium_skin_tone
🫷🏾	leftwards_pushing_hand_tone4	leftwards_pushing_hand_tone4,leftwards_pushing_hand_medium_dark_skin_tone
🫷🏿	leftwards_pushing_hand_tone5	leftwards_pushing_hand_tone5,leftwards_pushing_hand_dark_skin_tone
🫸	rightwards_pushing_hand	rightwards_pushing_hand
🫸🏻	rightwards_pushing_hand_tone1	rightwards_pushing_hand_tone1,rightwards_pushing_hand_light_skin_tone
🫸🏼	rightwards_pushing_hand_tone2	rightwards_pushing_hand_tone2,rightwards_pushing_hand_medium_light_skin_tone
🫸🏽	rightwards_pushing_hand_tone3	rightwards_pushing_hand_tone3,rightwards_pushing_hand_medium_skin_tone
🫸🏾	rightwards_pushing_hand_tone4	rightwards_pushing_hand_tone4,rightwards_pushing_hand_medium_dark_skin_tone
🫸🏿	rightwards_pushing_hand_tone5	rightwards_pushing_hand_tone5,rightwards_pushing_hand_dark_skin_tone
👌	ok_hand	ok_hand
👌🏻	ok_hand_tone1	ok_hand_tone1
👌🏼	ok_hand_tone2	ok_hand_tone2
👌🏽	ok_hand_tone3	ok_hand_tone3
👌🏾	ok_hand_tone4	ok_hand_tone4
👌🏿	ok_hand_tone5	ok_hand_tone5
🤌	pinched_fingers	pinched_fingers
🤌🏻	pinched_fingers_tone1	pinched_fingers_tone1,pinched_fingers_light_skin_tone
🤌🏼	pinched_fingers_tone2	pinched_fingers_tone2,pinched_fingers_medium_light_skin_tone
🤌🏽	pinched_fingers_tone3	pinched_fingers_tone3,pinched_fingers_medium_skin_tone
🤌🏾	pinched_fingers_tone4	pinched_fingers_tone4,pinched_fingers_medium_dark_skin_tone
🤌🏿	pinched_fingers_tone5	pinched_fingers_tone5,pinched_fingers_dark_skin_tone
🤏	pinching_hand	pinching_hand
🤏🏻	pinching_hand_tone1	pinching_hand_tone1,pinching_hand_light_skin_tone
🤏🏼	pinching_hand_tone2	pinching_hand_tone2,pinching_hand_medium_light_skin_tone
🤏🏽	pinching_hand_tone3	pinching_hand_tone3,pinching_hand_medium_skin_tone
🤏🏾	pinching_hand_tone4	pinching_hand_tone4,pinching_hand_medium_dark_skin_tone
🤏🏿	pinching_hand_tone5	pinching_hand_tone5,pinching_hand_dark_skin_tone
✌️	v	v,victory_hand
✌🏻	v_tone1	v_tone1
✌🏼	v_tone2	v_tone2
✌🏽	v_tone3	v_tone3
✌🏾	v_tone4	v_tone4
✌🏿	v_tone5	v_tone5
🤞	fingers_crossed	fingers_crossed,hand_with_index_and_middle_finger_crossed
🤞🏻	fingers_crossed_tone1	fingers_crossed_tone1,hand_with_index_and_middle_fingers_crossed_tone1
🤞🏼	fingers_crossed_tone2	fingers_crossed_tone2,hand_with_index_and_middle_fingers_crossed_tone2
🤞🏽	fingers_crossed_tone3	fingers_crossed_tone3,hand_with_index_and_middle_fingers_crossed_tone3
🤞🏾	fingers_crossed_tone4	fingers_crossed_tone4,hand_with_index_and_middle_fingers_crossed_tone4
🤞🏿	fingers_crossed_tone5	fingers_crossed_tone5,hand_with_index_and_middle_fingers_crossed_tone5
🫰	hand_with_index_finger_and_thumb_crossed	hand_with_index_finger_and_thumb_crossed
🫰🏻	hand_with_index_finger_and_thumb_crossed_tone1	hand_with_index_finger_and_thumb_crossed_tone1,hand_with_index_finger_and_thumb_crossed_light_skin_tone
🫰🏼	hand_with_index_finger_and_thumb_crossed_tone2	hand_with_index_finger_and_thumb_crossed_tone2,hand_with_index_finger_and_thumb_crossed_medium_light_skin_tone
🫰🏽	hand_with_index_finger_and_thumb_crossed_tone3	hand_with_index_finger_and_thumb_crossed_tone3,hand_with_index_finger_and_thumb_crossed_medium_skin_tone
🫰🏾	hand_with_index_finger_and_thumb_crossed_tone4	hand_with_index_finger_and_thumb_crossed_tone4,hand_with_index_finger_and_thumb_crossed_medium_dark_skin_tone
🫰🏿	hand_with_index_finger_and_thumb_crossed_tone5	hand_with_index_finger_and_thumb_crossed_tone5,hand_with_index_finger_and_thumb_crossed_dark_skin_tone
🤟	love_you_gesture	love_you_gesture
🤟🏻	love_you_gesture_tone1	love_you_gesture_tone1,love_you_gesture_light_skin_tone
🤟🏼	love_you_gesture_tone2	love_you_gesture_tone2,love_you_gesture_medium_light_skin_tone
🤟🏽	love_you_gesture_tone3	love_you_gesture_tone3,love_you_gesture_medium_skin_tone
🤟🏾	love_you_gesture_tone4	love_you_gesture_tone4,love_you_gesture_medium_dark_skin_tone
🤟🏿	love_you_gesture_tone5	love_you_gesture_tone5,love_you_gesture_dark_skin_tone
🤘	metal	metal,sign_of_the_horns
🤘🏻	metal_tone1	metal_tone1,sign_of_the_horns_tone1
🤘🏼	metal_tone2	metal_tone2,sign_of_the_horns_tone2
🤘🏽	metal_tone3	metal_tone3,sign_of_the_horns_tone3
🤘🏾	metal_tone4	metal_tone4,sign_of_the_horns_tone4
🤘🏿	metal_tone5	metal_tone5,sign_of_the_horns_tone5
🤙	call_me	call_me,call_me_hand
🤙🏻	call_me_tone1	call_me_tone1,call_me_hand_tone1
🤙🏼	call_me_tone2	call_me_tone2,call_me_hand_tone2
🤙🏽	call_me_tone3	call_me_tone3,call_me_hand_tone3
🤙🏾	call_me_tone4	call_me_tone4,call_me_hand_tone4
🤙🏿	call_me_tone5	call_me_tone5,call_me_hand_tone5
👈	point_left	point_left
👈🏻	point_left_tone1	point_left_tone1
👈🏼	point_left_tone2	point_left_tone2
👈🏽	point_left_tone3	point_left_tone3
👈🏾	point_left_tone4	point_left_tone4
👈🏿	point_left_tone5	point_left_tone5
👉	point_right	point_right
👉🏻	point_right_tone1	point_right_tone1
👉🏼	point_right_tone2	point_right_tone2
👉🏽	point_right_tone3	point_right_tone3
👉🏾	point_right_tone4	point_right_tone4
👉🏿	point_right_tone5	point_right_tone5
👆	point_up_2	point_up_2
👆🏻	point_up_2_tone1	point_up_2_tone1
👆🏼	point_up_2_tone2	point_up_2_tone2
👆🏽	point_up_2_tone3	point_up_2_tone3
👆🏾	point_up_2_tone4	point_up_2_tone4
👆🏿	point_up_2_tone5	point_up_2_tone5
🖕	middle_finger	middle_finger,reversed_hand_with_middle_finger_extended
🖕🏻	middle_finger_tone1	middle_finger_tone1,reversed_hand_with_middle_finger_extended_tone1
🖕🏼	middle_finger_tone2	middle_finger_tone2,reversed_hand_with_middle_finger_extended_tone2
🖕🏽	middle_finger_tone3	middle_finger_tone3,reversed_hand_with_middle_finger_extended_tone3
🖕🏾	middle_finger_tone4	middle_finger_tone4,reversed_hand_with_middle_finger_extended_tone4
🖕🏿	middle_finger_tone5	middle_finger_tone5,reversed_hand_with_middle_finger_extended_tone5
👇	point_down	point_down
👇🏻	point_down_tone1	point_down_tone1
👇🏼	point_down_tone2	point_down_tone2
👇🏽	point_down_tone3	point_down_tone3
👇🏾	point_down_tone4	point_down_tone4
👇🏿	point_down_tone5	point_down_tone5
☝️	point_up	point_up
☝🏻	point_up_tone1	point_up_tone1
☝🏼	point_up_tone2	point_up_tone2
☝🏽	point_up_tone3	point_up_tone3
☝🏾	point_up_tone4	point_up_tone4
☝🏿	point_up_tone5	point_up_tone5
🫵	index_pointing_at_the_viewer	index_pointing_at_the_viewer
🫵🏻	index_pointing_at_the_viewer_tone1	index_pointing_at_the_viewer_tone1,index_pointing_at_the_viewer_light_skin_tone
🫵🏼	index_pointing_at_the_viewer_tone2	index_pointing_at_the_viewer_tone2,index_pointing_at_the_viewer_medium_light_skin_tone
🫵🏽	index_pointing_at_the_viewer_tone3	index_pointing_at_the_viewer_tone3,index_pointing_at_the_viewer_medium_skin_tone
🫵🏾	index_pointing_at_the_viewer_tone4	index_pointing_at_the_viewer_tone4,index_pointing_at_the_viewer_medium_dark_skin_tone
🫵🏿	index_pointing_at_the_viewer_tone5	index_pointing_at_the_viewer_tone5,index_pointing_at_the_viewer_dark_skin_tone
👍	thumbsup	thumbsup,+1,thumbup,thumbs_up
👍🏻	thumbsup_tone1	thumbsup_tone1,+1_tone1,thumbup_tone1
👍🏼	thumbsup_tone2	thumbsup_tone2,+1_tone2,thumbup_tone2
👍🏽	thumbsup_tone3	thumbsup_tone3,+1_tone3,thumbup_tone3
👍🏾	thumbsup_tone4	thumbsup_tone4,+1_tone4,thumbup_tone4
👍🏿	thumbsup_tone5	thumbsup_tone5,+1_tone5,thumbup_tone5
👎	thumbsdown	thumbsdown,-1,thumbdown,thumbs_down
👎🏻	thumbsdown_tone1	thumbsdown_tone1,_1_tone1,thumbdown_tone1
👎🏼	thumbsdown_tone2	thumbsdown_tone2,_1_tone2,thumbdown_tone2
👎🏽	thumbsdown_tone3	thumbsdown_tone3,_1_tone3,thumbdown_tone3
👎🏾	thumbsdown_tone4	thumbsdown_tone4,_1_tone4,thumbdown_tone4
👎🏿	thumbsdown_tone5	thumbsdown_tone5,_1_tone5,thumbdown_tone5
✊	fist	fist,raised_fist
✊🏻	fist_tone1	fist_tone1
✊🏼	fist_tone2	fist_tone2
✊🏽	fist_tone3	fist_tone3
✊🏾	fist_tone4	fist_tone4
✊🏿	fist_tone5	fist_tone5
👊	punch	punch,oncoming_fist
👊🏻	punch_tone1	punch_tone1
👊🏼	punch_tone2	punch_tone2
👊🏽	punch_tone3	punch_tone3
👊🏾	punch_tone4	punch_tone4
👊🏿	punch_tone5	punch_tone5
🤛	left_facing_fist	left_facing_fist,left_fist
🤛🏻	left_facing_fist_tone1	left_facing_fist_tone1,left_fist_tone1
🤛🏼	left_facing_fist_tone2	left_facing_fist_tone2,left_fist_tone2
🤛🏽	left_facing_fist_tone3	left_facing_fist_tone3,left_fist_tone3
🤛🏾	left_facing_fist_tone4	left_facing_fist_tone4,left_fist_tone4
🤛🏿	left_facing_fist_tone5	left_facing_fist_tone5,left_fist_tone5
🤜	right_facing_fist	right_facing_fist,right_fist
🤜🏻	right_facing_fist_tone1	right_facing_fist_tone1,right_fist_tone1
🤜🏼	right_facing_fist_tone2	right_facing_fist_tone2,right_fist_tone2
🤜🏽	right_facing_fist_tone3	right_facing_fist_tone3,right_fist_tone3
🤜🏾	right_facing_fist_tone4	right_facing_fist_tone4,right_fist_tone4
🤜🏿	right_facing_fist_tone5	right_facing_fist_tone5,right_fist_tone5
👏	clap	clap
👏🏻	clap_tone1	clap_tone1
👏🏼	clap_tone2	clap_tone2
👏🏽	clap_tone3	clap_tone3
👏🏾	clap_tone4	clap_tone4
👏🏿	clap_tone5	clap_tone5
🙌	raised_hands	raised_hands,raising_hands
🙌🏻	raised_hands_tone1	raised_hands_tone1
🙌🏼	raised_hands_tone2	raised_hands_tone2
🙌🏽	raised_hands_tone3	raised_hands_tone3
🙌🏾	raised_hands_tone4	raised_hands_tone4
🙌🏿	raised_hands_tone5	raised_hands_tone5
🫶	heart_hands	heart_hands
🫶🏻	heart_hands_tone1	heart_hands_tone1,heart_hands_light_skin_tone
🫶🏼	heart_hands_tone2	heart_hands_tone2,heart_hands_medium_light_skin_tone
🫶🏽	heart_hands_tone3	heart_hands_tone3,heart_hands_medium_skin_tone
🫶🏾	heart_hands_tone4	heart_hands_tone4,heart_hands_medium_dark_skin_tone
🫶🏿	heart_hands_tone5	heart_hands_tone5,heart_hands_dark_skin_tone
👐	open_hands	open_hands
👐🏻	open_hands_tone1	open_hands_tone1
👐🏼	open_hands_tone2	open_hands_tone2
👐🏽	open_hands_tone3	open_hands_tone3
👐🏾	open_hands_tone4	open_hands_tone4
👐🏿	open_hands_tone5	open_hands_tone5
🤲	palms_up_together	palms_up_together
🤲🏻	palms_up_together_tone1	palms_up_together_tone1,palms_up_together_light_skin_tone
🤲🏼	palms_up_together_tone2	palms_up_together_tone2,palms_up_together_medium_light_skin_tone
🤲🏽	palms_up_together_tone3	palms_up_together_tone3,palms_up_together_medium_skin_tone
🤲🏾	palms_up_together_tone4	palms_up_together_tone4,palms_up_together_medium_dark_skin_tone
🤲🏿	palms_up_together_tone5	palms_up_together_tone5,palms_up_together_dark_skin_tone
🤝	handshake	handshake,shaking_hands
🤝🏻	handshake_tone1	handshake_tone1,handshake_light_skin_tone
🤝🏼	handshake_tone2	handshake_tone2,handshake_medium_light_skin_tone
🤝🏽	handshake_tone3	handshake_tone3,handshake_medium_skin_tone
🤝🏾	handshake_tone4	handshake_tone4,handshake_medium_dark_skin_tone
🤝🏿	handshake_tone5	handshake_tone5,handshake_dark_skin_tone
🫱🏻‍🫲🏼	handshake_tone1_tone2	handshake_tone1_tone2,handshake_light_skin_tone_medium_light_skin_tone
🫱🏻‍🫲🏽	handshake_tone1_tone3	handshake_tone1_tone3,handshake_light_skin_tone_medium_skin_tone
🫱🏻‍🫲🏾	handshake_tone1_tone4	handshake_tone1_tone4,handshake_light_skin_tone_medium_dark_skin_tone
🫱🏻‍🫲🏿	handshake_tone1_tone5	handshake_tone1_tone5,handshake_light_skin_tone_dark_skin_tone
🫱🏼‍🫲🏻	handshake_tone2_tone1	handshake_tone2_tone1,handshake_medium_light_skin_tone_light_skin_tone
🫱🏼‍🫲🏽	handshake_tone2_tone3	handshake_tone2_tone3,handshake_medium_light_skin_tone_medium_skin_tone
🫱🏼‍🫲🏾	handshake_tone2_tone4	handshake_tone2_tone4,handshake_medium_light_skin_tone_medium_dark_skin_tone
🫱🏼‍🫲🏿	handshake_tone2_tone5	handshake_tone2_tone5,handshake_medium_light_skin_tone_dark_skin_tone
🫱🏽‍🫲🏻	handshake_tone3_tone1	handshake_tone3_tone1,handshake_medium_skin_tone_light_skin_tone
🫱🏽‍🫲🏼	handshake_tone3_tone2	handshake_tone3_tone2,handshake_medium_skin_tone_medium_light_skin_tone
🫱🏽‍🫲🏾	handshake_tone3_tone4	handshake_tone3_tone4,handshake_medium_skin_tone_medium_dark_skin_tone
🫱🏽‍🫲🏿	handshake_tone3_tone5	handshake_tone3_tone5,handshake_medium_skin_tone_dark_skin_tone
🫱🏾‍🫲🏻	handshake_tone4_tone1	handshake_tone4_tone1,handshake_medium_dark_skin_tone_light_skin_tone
🫱🏾‍🫲🏼	handshake_tone4_tone2	handshake_tone4_tone2,handshake_medium_dark_skin_tone_medium_light_skin_tone
🫱🏾‍🫲🏽	handshake_tone4_tone3	handshake_tone4_tone3,handshake_medium_dark_skin_tone_medium_skin_tone
🫱🏾‍🫲🏿	handshake_tone4_tone5	handshake_tone4_tone5,handshake_medium_dark_skin_tone_dark_skin_tone
🫱🏿‍🫲🏻	handshake_tone5_tone1	handshake_tone5_tone1,handshake_dark_skin_tone_light_skin_tone
🫱🏿‍🫲🏼	handshake_tone5_tone2	handshake_tone5_tone2,handshake_dark_skin_tone_medium_light_skin_tone
🫱🏿‍🫲🏽	handshake_tone5_tone3	handshake_tone5_tone3,handshake_dark_skin_tone_medium_skin_tone
🫱🏿‍🫲🏾	handshake_tone5_tone4	handshake_tone5_tone4,handshake_dark_skin_tone_medium_dark_skin_tone
🙏	pray	pray,folded_hands
🙏🏻	pray_tone1	pray_tone1
🙏🏼	pray_tone2	pray_tone2
🙏🏽	pray_tone3	pray_tone3
🙏🏾	pray_tone4	pray_tone4
🙏🏿	pray_tone5	pray_tone5
✍️	writing_hand	writing_hand
